idx,place_id,nama_wisata,old_alamat,new_alamat,old_kabupaten,new_kabupaten,old_provinsi,new_provinsi
254,ChIJIcNDoECTmi0RjGqHJmB60n4,Taman Kota Fonuasingko,"GW9P+V9V, Bente, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
GW9P+V9V, Bente, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
399,ChIJ9S8U2SyMmi0RuLaQYRlYGao,Air Terjun Vera,"FWC6+C2G, Ipi, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
FWC6+C2G, Ipi, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
403,ChIJN8hBIkiGjC0RxXIYC0KiiVg,Pantai Pasangkayu Mamuju Utara,"Pantai Pasangkayu Mamuju Utara, Pasangkayu, West Sulawesi 91574, Indonesia","
Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat 91574",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
475,ChIJgxLm-WmGjC0R5_QsVtndPac,Pantai Tanjung Babia Pasangkayu,"Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat, Indonesia","
Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
480,ChIJQUtALAGNmi0R5m4oQxvCemg,Permandian Bahoruru,"FXG2+Q6H, Bahoruru, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
FXG2+Q6H, Bahoruru, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
527,ChIJNb1tELSHjC0RXzHDEILkToA,Pasangkayu Beach,"R9H2+62C, Jl. Moh. Hatta, Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat, Indonesia","
R9H2+62C, Jl. Moh. Hatta, Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat",Kabupaten Pasangkayu,Kabupaten Pasangkayu,Sulawesi Tengah,Sulawesi Barat
644,ChIJ4ZxC_DhklC0ReUNDRGsD4jw,Permandian Alam Air Panas Lemo Susu,"GGVR+RQ5, Betteng, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254, Indonesia","
GGVR+RQ5, Betteng, Kec. Lembang, Kabupaten Pinrang, Sulawesi Selatan 91254",Kabupaten Pinrang,Kabupaten Pinrang,Sulawesi Barat,Sulawesi Selatan
648,ChIJT1blc6S9mi0R2vdHbqZ8vl4,Penangkaran RUSA Desa Wosu,"Wosu, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976, Indonesia","
Wosu, Kec. Bungku Bar., Kabupaten Morowali, Sulawesi Tengah 94976",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
723,ChIJf_8IsC_dkC0RQjog2INoDDA,pulau bintang tolala,"23VC+22G, Kec. Tolala, Kabupaten Kolaka Utara, Sulawesi Tenggara, Indonesia","
23VC+22G, Kec. Tolala, Kabupaten Kolaka Utara, Sulawesi Tenggara",Kabupaten Kolaka Utara,Kabupaten Kolaka Utara,Sulawesi Selatan,Sulawesi Tenggara
754,ChIJdXRFl1oBkC0RFzmAGSNfGs0,Ungkea Beach,"ungkea, Kabupaten Morowali Utara, Sulawesi Tengah, Indonesia","
ungkea, Kabupaten Morowali Utara, Sulawesi Tengah",Kabupaten Morowali Utara,Kabupaten Morowali Utara,Sulawesi Selatan,Sulawesi Tengah
788,ChIJDd6l0hxfmi0RnttLzDwVqdA,Permandian Bahopombine,"82G5+FF8, Kolono, Kec. Bungku Timur, Kabupaten Morowali, Sulawesi Tengah 94973, Indonesia","
82G5+FF8, Kolono, Kec. Bungku Timur, Kabupaten Morowali, Sulawesi Tengah 94973",Kabupaten Morowali,Kabupaten Morowali,Sulawesi Selatan,Sulawesi Tengah
797,ChIJtU7VBSDEhy0RzlBs9rO8iGU,Jelly Fish Lake (Mariona Lake),"MW82+5H7, Katupat, Kec. Togean, Kabupaten Tojo Una-Una, Sulawesi Tengah 94691, Indonesia","
MW82+5H7, Katupat, Kec. Togean, Kabupaten Tojo Una-Una, Sulawesi Tengah 94691",Kabupaten Tojo Una-Una,Kabupaten Tojo Una-Una,Gorontalo,Sulawesi Tengah
830,ChIJMcKJbpevdzIRc1cLlz06NU4,Pantai Wisata Moian,"Pantai Wisata Moian, Palapi, Taopa, Parigi Moutong Regency, Central Sulawesi, Indonesia","
Palapi, Kec. Taopa, Kabupaten Parigi Moutong, Sulawesi Tengah",Kabupaten Parigi Moutong,Kabupaten Parigi Moutong,Gorontalo,Sulawesi Tengah
